job,output_file,field_center_x_wafer_um,field_center_y_wafer_um,clip_left_um,clip_bottom_um,clip_right_um,clip_top_um,output_translate_x_um,output_translate_y_um,output_bbox_um,polygon_count
P1_right_top,080526_VertDicev2_P1_right_top.dxf,25000.0,25000.0,-0.0,-0.0,55000.0,55000.0,-25000.0,-25000.0,-20025.000;-25000.000;10025.000;13992.500,4
P2_left_top,080526_VertDicev2_P2_left_top.dxf,-25000.0,25000.0,-55000.0,-0.0,0.0,55000.0,25000.0,-25000.0,-10025.000;-25000.000;20025.000;13992.500,4
P3_right_bottom,080526_VertDicev2_P3_right_bottom.dxf,25000.0,-25000.0,-0.0,-55000.0,55000.0,0.0,-25000.0,25000.0,-20025.000;-13992.500;10025.000;25000.000,4
P4_left_bottom,080526_VertDicev2_P4_left_bottom.dxf,-25000.0,-25000.0,-55000.0,-55000.0,0.0,0.0,25000.0,25000.0,-10025.000;-13992.500;20025.000;25000.000,4
