job,output_file,jig_station,exposed_wafer_area,field_center_x_wafer_um,field_center_y_wafer_um,clip_left_um,clip_bottom_um,clip_right_um,clip_top_um,output_translate_x_um,output_translate_y_um,max_cut_width_um,cut_width_mode,station_offset_x_um,station_offset_y_um,source_layer_selector,source_paths_capped,output_bbox_um,polygon_count,has_cut_geometry
P1_jig_top_left,100mm_wafer_10x30mm_Horizontal_master_P1_jig_top_left.dxf,top_left,bottom_right,25400.0,-25400.0,-200.0,-51000.0,51000.0,200.0,-29354.0,25775.0,50.0,cap,-100.0,-75.0,default (0/0 or a layer named '0'),0,-29554.000;-11035.701;-24354.000;-10985.701,1,True
P2_jig_top_right,100mm_wafer_10x30mm_Horizontal_master_P2_jig_top_right.dxf,top_right,bottom_left,-25400.0,-25400.0,-51000.0,-51000.0,200.0,200.0,21446.0,25850.0,50.0,cap,-100.0,0.0,default (0/0 or a layer named '0'),0,16446.000;-10960.701;21646.000;-10910.701,1,True
P3_jig_bottom_right,100mm_wafer_10x30mm_Horizontal_master_P3_jig_bottom_right.dxf,bottom_right,top_left,-25400.0,25400.0,-51000.0,-200.0,200.0,51000.0,21546.0,-24950.0,50.0,cap,0.0,0.0,default (0/0 or a layer named '0'),0,16546.000;11810.701;21746.000;11860.701,1,True
P4_jig_bottom_left,100mm_wafer_10x30mm_Horizontal_master_P4_jig_bottom_left.dxf,bottom_left,top_right,25400.0,25400.0,-200.0,-200.0,51000.0,51000.0,-29254.0,-24975.0,50.0,cap,0.0,-25.0,default (0/0 or a layer named '0'),0,-29454.000;11785.701;-24254.000;11835.701,1,True
