job,output_file,jig_station,exposed_wafer_area,field_center_x_wafer_um,field_center_y_wafer_um,clip_left_um,clip_bottom_um,clip_right_um,clip_top_um,output_translate_x_um,output_translate_y_um,max_cut_width_um,cut_width_mode,station_offset_x_um,station_offset_y_um,source_layer_selector,source_paths_capped,output_bbox_um,polygon_count,has_cut_geometry
P1_jig_top_left,100mm_wafer_10x30mm_Horizontal_master_P1_jig_top_left.dxf,top_left,bottom_right,25400.0,-25400.0,-200.0,-51000.0,51000.0,200.0,-25207.2,25765.75,50.0,cap,7.5,-72.25,default (0/0 or a layer named '0'),0,-25407.200;-17044.951;-20207.200;-16994.951,1,True
P2_jig_top_right,100mm_wafer_10x30mm_Horizontal_master_P2_jig_top_right.dxf,top_right,bottom_left,-25400.0,-25400.0,-51000.0,-51000.0,200.0,200.0,25620.649999999998,25910.25,50.0,cap,35.35,72.25,default (0/0 or a layer named '0'),0,20620.650;-16900.451;25820.650;-16850.451,1,True
P3_jig_bottom_right,100mm_wafer_10x30mm_Horizontal_master_P3_jig_bottom_right.dxf,bottom_right,top_left,-25400.0,25400.0,-51000.0,-200.0,200.0,51000.0,25549.95,-24916.35,50.0,cap,-35.35,45.65,default (0/0 or a layer named '0'),0,20549.950;17844.351;25749.950;17894.351,1,True
P4_jig_bottom_left,100mm_wafer_10x30mm_Horizontal_master_P4_jig_bottom_left.dxf,bottom_left,top_right,25400.0,25400.0,-200.0,-200.0,51000.0,51000.0,-25222.2,-25007.65,50.0,cap,-7.5,-45.65,default (0/0 or a layer named '0'),0,-25422.200;17753.051;-20222.200;17803.051,1,True
