job,output_file,jig_station,exposed_wafer_area,field_center_x_wafer_um,field_center_y_wafer_um,clip_left_um,clip_bottom_um,clip_right_um,clip_top_um,output_translate_x_um,output_translate_y_um,max_cut_width_um,cut_width_mode,station_offset_x_um,station_offset_y_um,source_layer_selector,source_paths_capped,output_bbox_um,polygon_count,has_cut_geometry
P1_jig_top_left,100mm_wafer_10x30mm_Vertical_master_P1_jig_top_left.dxf,top_left,bottom_right,25400.0,-25400.0,-200.0,-51000.0,51000.0,200.0,-21702.0,24640.0,50.0,cap,-40.0,-20.0,default (0/0 or a layer named '0'),0,15058.701;19640.000;15108.701;24840.000,1,True
P2_jig_top_right,100mm_wafer_10x30mm_Vertical_master_P2_jig_top_right.dxf,top_right,bottom_left,-25400.0,-25400.0,-51000.0,-51000.0,200.0,200.0,29098.0,24660.0,50.0,cap,-40.0,0.0,default (0/0 or a layer named '0'),0,-7712.701;19660.000;-7662.701;24860.000,1,True
P3_jig_bottom_right,100mm_wafer_10x30mm_Vertical_master_P3_jig_bottom_right.dxf,bottom_right,top_left,-25400.0,25400.0,-51000.0,-200.0,200.0,51000.0,29138.0,-26140.0,50.0,cap,0.0,0.0,default (0/0 or a layer named '0'),0,-7672.701;-26340.000;-7622.701;-21140.000,1,True
P4_jig_bottom_left,100mm_wafer_10x30mm_Vertical_master_P4_jig_bottom_left.dxf,bottom_left,top_right,25400.0,25400.0,-200.0,-200.0,51000.0,51000.0,-21662.0,-26140.0,50.0,cap,0.0,0.0,default (0/0 or a layer named '0'),0,15098.701;-26340.000;15148.701;-21140.000,1,True
