job,output_file,jig_station,exposed_wafer_area,field_center_x_wafer_um,field_center_y_wafer_um,clip_left_um,clip_bottom_um,clip_right_um,clip_top_um,output_translate_x_um,output_translate_y_um,max_cut_width_um,cut_width_mode,source_layer_selector,source_paths_capped,output_bbox_um,polygon_count,has_cut_geometry,import_registration_envelope,declared_window_half_um
DXF11_jig_top_left,100mm_wafer_10x30mm_Vertical_master_DXF11_jig_top_left.dxf,top_left,bottom_right,25400.0,-25400.0,-600.0,-51400.0,51400.0,600.0,-25400.0,25400.0,50.0,cap,default (0/0 or a layer named '0'),0,-20425.000;-19885.701;19625.000;26000.000,5,True,True,26000.0
DXF12_jig_top_right,100mm_wafer_10x30mm_Vertical_master_DXF12_jig_top_right.dxf,top_right,bottom_left,-25400.0,-25400.0,-51400.0,-51400.0,600.0,600.0,25400.0,25400.0,50.0,cap,default (0/0 or a layer named '0'),0,-19625.000;-19885.701;20425.000;26000.000,5,True,True,26000.0
DXF21_jig_bottom_left,100mm_wafer_10x30mm_Vertical_master_DXF21_jig_bottom_left.dxf,bottom_left,top_right,25400.0,25400.0,-600.0,-600.0,51400.0,51400.0,-25400.0,-25400.0,50.0,cap,default (0/0 or a layer named '0'),0,-20425.000;-26000.000;19625.000;22341.455,5,True,True,26000.0
DXF22_jig_bottom_right,100mm_wafer_10x30mm_Vertical_master_DXF22_jig_bottom_right.dxf,bottom_right,top_left,-25400.0,25400.0,-51400.0,-600.0,600.0,51400.0,25400.0,-25400.0,50.0,cap,default (0/0 or a layer named '0'),0,-19625.000;-26000.000;20425.000;22341.455,5,True,True,26000.0
