job,output_file,jig_station,exposed_wafer_area,field_center_x_wafer_um,field_center_y_wafer_um,clip_left_um,clip_bottom_um,clip_right_um,clip_top_um,output_translate_x_um,output_translate_y_um,max_cut_width_um,cut_width_mode,station_offset_x_um,station_offset_y_um,source_layer_selector,source_paths_capped,output_bbox_um,polygon_count,has_cut_geometry
P1_jig_top_left,100mm_wafer_10x30mm_Vertical_master_P1_jig_top_left.dxf,top_left,bottom_right,25400.0,-25400.0,-200.0,-51000.0,51000.0,200.0,-21822.4,24710.0,50.0,cap,0.0,0.0,default (0/0 or a layer named '0'),0,20938.301;19710.000;20988.301;24910.000,1,True
P2_jig_top_right,100mm_wafer_10x30mm_Vertical_master_P2_jig_top_right.dxf,top_right,bottom_left,-25400.0,-25400.0,-51000.0,-51000.0,200.0,200.0,28977.6,24710.0,50.0,cap,0.0,0.0,default (0/0 or a layer named '0'),0,-13833.101;19710.000;-13783.101;24910.000,1,True
P3_jig_bottom_right,100mm_wafer_10x30mm_Vertical_master_P3_jig_bottom_right.dxf,bottom_right,top_left,-25400.0,25400.0,-51000.0,-200.0,200.0,51000.0,28977.6,-26090.0,50.0,cap,0.0,0.0,default (0/0 or a layer named '0'),0,-13833.101;-26290.000;-13783.101;-21090.000,1,True
P4_jig_bottom_left,100mm_wafer_10x30mm_Vertical_master_P4_jig_bottom_left.dxf,bottom_left,top_right,25400.0,25400.0,-200.0,-200.0,51000.0,51000.0,-21822.4,-26090.0,50.0,cap,0.0,0.0,default (0/0 or a layer named '0'),0,20938.301;-26290.000;20988.301;-21090.000,1,True
