job,output_file,jig_station,exposed_wafer_area,field_center_x_wafer_um,field_center_y_wafer_um,clip_left_um,clip_bottom_um,clip_right_um,clip_top_um,output_translate_x_um,output_translate_y_um,max_cut_width_um,cut_width_mode,station_offset_x_um,station_offset_y_um,source_layer_selector,source_paths_capped,output_bbox_um,polygon_count,has_cut_geometry
P1_jig_top_left,100mm_wafer_10x30mm_Vertical_master_P1_jig_top_left.dxf,top_left,bottom_right,25400.0,-25400.0,-200.0,-51000.0,51000.0,200.0,-29354.0,25775.0,50.0,cap,-100.0,-75.0,default (0/0 or a layer named '0'),0,8906.701;20775.000;8956.701;25975.000,1,True
P2_jig_top_right,100mm_wafer_10x30mm_Vertical_master_P2_jig_top_right.dxf,top_right,bottom_left,-25400.0,-25400.0,-51000.0,-51000.0,200.0,200.0,21446.0,25850.0,50.0,cap,-100.0,0.0,default (0/0 or a layer named '0'),0,-16864.701;20850.000;-16814.701;26050.000,1,True
P3_jig_bottom_right,100mm_wafer_10x30mm_Vertical_master_P3_jig_bottom_right.dxf,bottom_right,top_left,-25400.0,25400.0,-51000.0,-200.0,200.0,51000.0,21546.0,-24950.0,50.0,cap,0.0,0.0,default (0/0 or a layer named '0'),0,-16764.701;-25150.000;-16714.701;-19950.000,1,True
P4_jig_bottom_left,100mm_wafer_10x30mm_Vertical_master_P4_jig_bottom_left.dxf,bottom_left,top_right,25400.0,25400.0,-200.0,-200.0,51000.0,51000.0,-29254.0,-24975.0,50.0,cap,0.0,-25.0,default (0/0 or a layer named '0'),0,9006.701;-25175.000;9056.701;-19975.000,1,True
