job,output_file,jig_station,exposed_wafer_area,field_center_x_wafer_um,field_center_y_wafer_um,clip_left_um,clip_bottom_um,clip_right_um,clip_top_um,output_translate_x_um,output_translate_y_um,max_cut_width_um,cut_width_mode,station_offset_x_um,station_offset_y_um,source_layer_selector,source_paths_capped,output_bbox_um,polygon_count,has_cut_geometry
P1_jig_top_left,100mm_wafer_10x30mm_Horizontal_master_P1_jig_top_left.dxf,top_left,bottom_right,25400.0,-18000.0,-7600.0,-51000.0,58400.0,15000.0,-25400.0,18000.0,50.0,cap,0.0,0.0,default (0/0 or a layer named '0'),0,-30400.000;-20310.701;-20400.000;-20260.701,1,True
P2_jig_top_right,100mm_wafer_10x30mm_Horizontal_master_P2_jig_top_right.dxf,top_right,bottom_left,-25400.0,-18000.0,-58400.0,-51000.0,7600.0,15000.0,25400.0,18000.0,50.0,cap,0.0,0.0,default (0/0 or a layer named '0'),0,20400.000;-20310.701;30400.000;-20260.701,1,True
P3_jig_bottom_right,100mm_wafer_10x30mm_Horizontal_master_P3_jig_bottom_right.dxf,bottom_right,top_left,-25400.0,18000.0,-58400.0,-15000.0,7600.0,51000.0,25400.0,-18000.0,50.0,cap,0.0,0.0,default (0/0 or a layer named '0'),0,20400.000;20260.701;30400.000;20310.701,1,True
P4_jig_bottom_left,100mm_wafer_10x30mm_Horizontal_master_P4_jig_bottom_left.dxf,bottom_left,top_right,25400.0,18000.0,-7600.0,-15000.0,58400.0,51000.0,-25400.0,-18000.0,50.0,cap,0.0,0.0,default (0/0 or a layer named '0'),0,-30400.000;20260.701;-20400.000;20310.701,1,True
